,ts,scores,mean_scores,game_hash,starting_timestamp,negative_reward,positive_reward,seed,how_many_seeds,how_many_games,number_of_layers,speed
379,1704564286.023831,9,4.578947368421052,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
380,1704564287.398761,4,4.57742782152231,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
381,1704564288.082691,4,4.575916230366492,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
382,1704564292.421801,20,4.616187989556136,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
383,1704564297.684768,10,4.630208333333333,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
384,1704564311.762003,8,4.638961038961039,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
385,1704564331.946706,19,4.676165803108808,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
386,1704564334.636989,20,4.715762273901809,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
387,1704564335.02989,4,4.713917525773196,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
388,1704564336.897574,18,4.748071979434448,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
389,1704564337.543317,5,4.748717948717949,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
390,1704564338.256884,5,4.749360613810742,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
391,1704564338.938722,5,4.75,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
392,1704564340.402052,11,4.765903307888041,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
393,1704564341.406672,7,4.771573604060913,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
394,1704564342.626349,10,4.784810126582278,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
395,1704564346.331024,13,4.805555555555555,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
396,1704564348.768498,11,4.821158690176323,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
397,1704564350.217486,7,4.826633165829146,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
398,1704564351.852901,5,4.827067669172933,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
399,1704564354.013069,5,4.8275,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
400,1704564355.087652,3,4.822942643391521,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
401,1704564358.352487,6,4.825870646766169,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
402,1704564375.927471,9,4.836228287841191,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
403,1704564381.214949,4,4.834158415841584,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
404,1704564391.617016,6,4.837037037037037,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
405,1704564398.982185,7,4.842364532019705,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
406,1704564399.306393,1,4.832923832923833,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
407,1704564399.921392,4,4.830882352941177,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
408,1704564400.319269,1,4.821515892420538,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
409,1704564400.986277,4,4.819512195121951,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
410,1704564401.375506,1,4.810218978102189,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
411,1704564401.950464,3,4.805825242718447,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
412,1704564402.473032,3,4.801452784503632,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
413,1704564403.908591,6,4.804347826086956,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
414,1704564404.59845,4,4.8024096385542165,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
415,1704564404.969098,1,4.793269230769231,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
416,1704564405.41541,1,4.784172661870503,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
417,1704564406.171746,4,4.782296650717703,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
418,1704564407.589397,6,4.785202863961814,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
419,1704564408.549823,6,4.788095238095238,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
420,1704564409.192977,4,4.7862232779097384,0ecd19360902222ad91dfda65659eb49b76736466c00c59f4e8a452edc27cd3f2fd672ac68808f4197541bc069422481db6b1b53e80b93af81e88fc4f4ff84b7,1704565826.720712,-10,27,10,10,100,256,1000
